Username,FollowAge,IsFollower,BatName,BatGender,BatColor,0
t3chn0_blaziken,65989,0,Baxter,Male,Black,0
it_kiwi,63894,0,Sona,Female,Brown,0
koid,60045,0,Aura,Female,Black,0
EDancning,55739,0,Cole,Male,Black,0
Iawesomekid266,55622,0,Sage,Female,Brown,0
BuddyB2323,55547,0,Ruth,Female,Red,0
Jo_macia26,7305,0,Raine,Female,Black,0
Timk1999,65224,0,Nugget,Female,Black,0
Riannederijk,65106,0,Midnight,Male,Brown,0
zombiecallum,61484,0,Vladimir,Male,Black,0
gamergirl_17ko,80448,0,Mirage,Female,Black,0
Silthulhu,56789,0,Illumina,Female,Brown,0
spaztic_bananas97,53846,0,Skye,Female,Black,0
DiamondBlockDude,53833,0,Morticia,Female,Black,0
Chewittz,53737,0,Lucy,Female,Brown,0
craftbuilds,52284,0,Trixy,Female,Red,0
Zeta_The_Dragon,13469,0,Flutters,Female,Black,0
pencilface252,80042,0,Drake,Male,Black,0
patrickc178,71052,0,Raine,Female,Brown,0
Celestrine,72369,0,Aura,Female,Black,0
Vlogical123,59574,0,Illumina,Female,Black,0
Yachts4ever,80004,0,Scarlett,Female,Brown,0
swaggzilla123,79943,0,Twilight,Female,Black,0
QuirkyGeek17,65561,0,Ruth,Female,Black,0
JC747,82715,0,Ruth,Female,Brown,0
bassikovvv,78691,0,Vamp,Male,Red,0
Jamjardavies,73460,0,Spuds,Male,Black,0
BehSl81,63383,0,Lady,Female,Black,0
NiceGuyW0lfe,67737,0,Mittens,Female,Brown,0
way_better_than_you,49265,0,Aine,Female,Black,0
catboy60,64631,0,Brutus,Male,Black,0
Overlord9K,53412,0,Bandetta,Female,Brown,0
SGTSparkelzlol,56505,0,Nibbles,Female,Black,0
PascoalMusic,68372,0,Wingnut,Male,Black,0
graybeast00,32025,0,Guano,Male,Brown,0
xTrickShotProx,68221,0,Brutus,Male,Red,0
RENBE238,19050,0,Midnight,Male,Black,0
rok_246,70154,0,Skylar,Female,Black,0
Markcon5805,68683,0,Aura,Female,Brown,0
Butlins_CEO,67402,0,Wingnut,Male,Black,0
exrthxo,56390,0,Drake,Male,Black,0
han7800,48143,0,Ash,Male,Brown,0
chilimilivanili7,44115,0,Matrix,Male,Black,0
TeamAquaDoodz,24171,0,Sade,Female,Black,0
mrwilleking,21865,0,Moon,Male,Brown,0
Kmartinator,3911,0,Bruce,Male,Red,0
L1L4ndT4sty,76948,0,Orion,Male,Black,0
NotedBinkie9727,76919,0,Butch,Male,Black,0
Level1Nerd,76912,0,Flutters,Female,Brown,0
B1g4ndT4sty,76860,0,Vulkan,Male,Black,0
ad9836,76803,0,Comet,Male,Black,0
