Username,FollowLength,IsFollower,BatName,BatGender,BatColor,0
graydoublex12,31630445,1,Moon,Male,Black,0
bendy_the_dancing_demon65,33,0,Siren,Female,Black,0
FlagShipFail,31569169,1,Equina,Female,Brown,0
joshmcrae24,1601434,0,Vladimir,Male,Red,0
jamesalotplays,31563568,1,Skylar,Female,Black,0
jaemikethatgoat,31561230,1,Bandetta,Female,Black,0
themitchgamer73,31558915,1,Rhyme,Female,Brown,0
Kikiisyourfriend,31553268,1,Wingnut,Male,Black,0
manishis,31550654,1,Mittens,Female,Black,0
HornyPancakes,24,0,Matrix,Male,Brown,0
wolfdogwannabe,81882682,0,Drake,Male,Black,0
Dutchtr0ll,35103770,1,Blues,Male,Black,0
Riboture,33595786,1,Ivy,Female,Brown,1
Erugdir,33000290,1,Sona,Female,Red,0
themayhemrises,1131923,0,Amara,Female,Black,0
Lovi84,9720228,0,Draculon,Male,Black,0
Bennerhill,1665329,0,Shrike,Male,Brown,0
ManInTheIceBox,31474532,1,Sade,Female,Black,0
keepinitbreezie,31442850,1,Flaps,Male,Black,0
festivekinky,87336933,1,Rhyme,female,Brown,0
4corey,84309681,1,Echo,female,Black,0
TheMayhemRises,14452346,0,Amara,female,Black,0
aylessia82,31311856,1,Butch,male,Brown,0
SpillExpoNorge,31305647,1,Ripmaw,male,Black,0
GrAviTyplaYyY,31303487,1,Shrike,male,Red,0
bjarncoene,1480478,0,Dawnstar,female,Black,0
youvebeengnomeeed,31288739,1,Echo,female,Brown,0
firedrago112,31286716,1,Velvet,female,Black,0
mzmyst,31265628,1,Sona,female,Black,0
xamylii,31223857,1,Char,male,Brown,0
prince870116,31223471,1,Booboo,male,Black,0
legendarypen1s,31222093,1,Vamp,male,Black,0
purplephazed,252019,0,Mothra,male,Brown,0
darkshadowsinthesky,9566128,0,Screech,male,Red,0
riaglo,31219535,1,Velvet,female,Black,0
channel_name_here,31215328,1,Ruth,female,Black,0
da123_,31214742,1,Skylar,female,Brown,0
no_bodie,31214737,1,Blade,male,Black,0
kingchiefw09,31207613,1,Flutters,female,Black,0
sierrashooterq08,31207612,1,Brutus,male,Brown,0
hellarcanea54,31207611,1,Violet,female,Black,0
fazeairplaned70,31207610,1,Mittens,female,Black,0
fazingdemonv28,31207610,1,Blade,male,Brown,0
shootingraptorv42,31207609,1,Ripmaw,male,Black,0
infinitymanh55,31207608,1,Dimitri,male,Red,0
speedinghunterw90,31207607,1,Flutters,female,Black,0
betaarmorg13,31207607,1,Raine,female,Brown,0
hellaliasj61,31207606,1,Impaler,male,Black,0
invisiblesupremer99,31207605,1,Dawnstar,female,Black,0
ogcreatured37,31207604,1,Rascal,male,Brown,0
forcecavej66,31207604,1,Siren,female,Black,0
killermilitarya15,31207603,1,Sabath,male,Black,0
flamingchiefe69,31207602,1,Abby,female,Brown,0
invisiblekillerq04,31207601,1,Dexter,male,Black,0
fallingtigerh64,31207601,1,Rascal,male,Red,0
badiceq53,31207600,1,Dot,female,Black,0
largegamem19,31207599,1,Brutus,male,Brown,0
rebelforcel20,31207598,1,Blues,male,Black,0
deltainceptionj84,31207598,1,Star,female,Black,0
deltainceptionr10,31207597,1,Moonlight,female,Brown,0
lightningdumpd57,31207596,1,Sage,female,Black,0
hardcoremonkeyn53,31207596,1,Rhyme,female,Black,0
infinitydarknessr23,31207595,1,Baxter,male,Brown,0
revdynamicp23,31207594,1,Vladimir,male,Red,0
mightygund37,31207594,1,Iris,female,Black,0
ooghosth08,31207593,1,Rhyme,female,Black,0
fadingtreeh85,31207592,1,Dimitri,male,Brown,0
darkbuilderg49,31207592,1,Dawnstar,female,Black,0
